k,query,retrieval_time,total_time,answer_length,retrieved_docs_count,success,error
3,Tài liệu này nói về cái gì?,0.06934380531311035,37.18033742904663,142,3,True,
5,Tài liệu này nói về cái gì?,0.04662322998046875,62.426228284835815,139,5,True,
10,Tài liệu này nói về cái gì?,0.04789614677429199,101.90859127044678,108,10,True,
15,Tài liệu này nói về cái gì?,0.049648284912109375,150.10313153266907,110,15,True,
20,Tài liệu này nói về cái gì?,0.050664424896240234,205.26255345344543,94,20,True,
3,Hãy tóm tắt nội dung chính của tài liệu?,0.0689239501953125,72.50301909446716,172,3,True,
5,Hãy tóm tắt nội dung chính của tài liệu?,0.04847526550292969,101.42982935905457,148,5,True,
10,Hãy tóm tắt nội dung chính của tài liệu?,0.04998207092285156,145.5486240386963,172,10,True,
15,Hãy tóm tắt nội dung chính của tài liệu?,0.0683126449584961,199.9299795627594,176,15,True,
20,Hãy tóm tắt nội dung chính của tài liệu?,0.05700087547302246,241.9435474872589,172,20,True,
3,Đây là tài liệu về lĩnh vực nào?,0.043198585510253906,91.40702986717224,107,3,True,
5,Đây là tài liệu về lĩnh vực nào?,0.05305337905883789,115.5219099521637,86,5,True,
10,Đây là tài liệu về lĩnh vực nào?,0.0492253303527832,172.4701225757599,93,10,True,
15,Đây là tài liệu về lĩnh vực nào?,0.07022643089294434,239.80765509605408,105,15,True,
20,Đây là tài liệu về lĩnh vực nào?,0.06157636642456055,273.31393241882324,76,20,True,
